date,pm 2.5,stasiun,id_stasiun,Pollution Level
2023-12-29,63.0,Balikpapan Sepinggan,1,Moderate
2023-12-30,57.0,Balikpapan Sepinggan,1,Moderate
2023-12-31,46.0,Balikpapan Sepinggan,1,Good
2024-01-01,37.0,Balikpapan Sepinggan,1,Good
2024-01-02,55.0,Balikpapan Sepinggan,1,Moderate
2024-01-03,54.0,Balikpapan Sepinggan,1,Moderate
2024-01-04,62.0,Balikpapan Sepinggan,1,Moderate
2024-01-05,64.0,Balikpapan Sepinggan,1,Moderate
2024-01-07,63.0,Balikpapan Sepinggan,1,Moderate
2024-01-08,59.0,Balikpapan Sepinggan,1,Moderate
2024-01-09,51.0,Balikpapan Sepinggan,1,Moderate
2024-01-10,54.0,Balikpapan Sepinggan,1,Moderate
2024-01-11,58.0,Balikpapan Sepinggan,1,Moderate
2024-01-12,60.0,Balikpapan Sepinggan,1,Moderate
2024-01-13,67.0,Balikpapan Sepinggan,1,Moderate
2024-01-14,67.0,Balikpapan Sepinggan,1,Moderate
2024-01-29,65.0,Balikpapan Sepinggan,1,Moderate
2024-01-30,62.0,Balikpapan Sepinggan,1,Moderate
2024-01-31,53.0,Balikpapan Sepinggan,1,Moderate
2024-02-01,65.0,Balikpapan Sepinggan,1,Moderate
2024-02-02,45.0,Balikpapan Sepinggan,1,Good
2024-02-03,59.0,Balikpapan Sepinggan,1,Moderate
2024-02-04,38.0,Balikpapan Sepinggan,1,Good
2024-02-05,54.0,Balikpapan Sepinggan,1,Moderate
2024-02-06,57.0,Balikpapan Sepinggan,1,Moderate
2024-02-07,60.0,Balikpapan Sepinggan,1,Moderate
2024-02-08,53.0,Balikpapan Sepinggan,1,Moderate
2024-02-09,65.0,Balikpapan Sepinggan,1,Moderate
2024-02-10,53.0,Balikpapan Sepinggan,1,Moderate
2024-02-11,65.0,Balikpapan Sepinggan,1,Moderate
2024-02-12,71.0,Balikpapan Sepinggan,1,Moderate
2024-02-13,71.0,Balikpapan Sepinggan,1,Moderate
2024-02-14,76.0,Balikpapan Sepinggan,1,Moderate
2024-02-15,66.0,Balikpapan Sepinggan,1,Moderate
2023-09-27,186.0,Banjar Baru Landasan Ulin,2,Unhealthy
2023-09-28,169.0,Banjar Baru Landasan Ulin,2,Unhealthy
2023-09-29,196.0,Banjar Baru Landasan Ulin,2,Unhealthy
2023-09-30,215.0,Banjar Baru Landasan Ulin,2,Very Unhealthy
2023-10-01,125.0,Banjar Baru Landasan Ulin,2,Unhealthy for Sensitive Groups
2023-10-02,157.0,Banjar Baru Landasan Ulin,2,Unhealthy
2023-10-03,172.0,Banjar Baru Landasan Ulin,2,Unhealthy
2023-10-04,180.0,Banjar Baru Landasan Ulin,2,Unhealthy
2023-10-05,137.0,Banjar Baru Landasan Ulin,2,Unhealthy for Sensitive Groups
2023-10-06,111.0,Banjar Baru Landasan Ulin,2,Unhealthy for Sensitive Groups
2023-10-07,106.0,Banjar Baru Landasan Ulin,2,Unhealthy for Sensitive Groups
2023-10-08,120.0,Banjar Baru Landasan Ulin,2,Unhealthy for Sensitive Groups
2023-10-09,181.0,Banjar Baru Landasan Ulin,2,Unhealthy
2023-10-10,152.0,Banjar Baru Landasan Ulin,2,Unhealthy
2023-10-11,115.0,Banjar Baru Landasan Ulin,2,Unhealthy for Sensitive Groups
2023-10-12,121.0,Banjar Baru Landasan Ulin,2,Unhealthy for Sensitive Groups
2023-10-13,182.0,Banjar Baru Landasan Ulin,2,Unhealthy
2023-10-14,172.0,Banjar Baru Landasan Ulin,2,Unhealthy
2023-10-15,161.0,Banjar Baru Landasan Ulin,2,Unhealthy
2023-10-16,152.0,Banjar Baru Landasan Ulin,2,Unhealthy
2023-10-17,143.0,Banjar Baru Landasan Ulin,2,Unhealthy for Sensitive Groups
2023-10-18,108.0,Banjar Baru Landasan Ulin,2,Unhealthy for Sensitive Groups
2023-10-19,138.0,Banjar Baru Landasan Ulin,2,Unhealthy for Sensitive Groups
2023-10-20,91.0,Banjar Baru Landasan Ulin,2,Moderate
2023-10-21,91.0,Banjar Baru Landasan Ulin,2,Moderate
2023-10-22,91.0,Banjar Baru Landasan Ulin,2,Moderate
2023-10-23,91.0,Banjar Baru Landasan Ulin,2,Moderate
2023-10-24,93.0,Banjar Baru Landasan Ulin,2,Moderate
2023-10-25,130.0,Banjar Baru Landasan Ulin,2,Unhealthy for Sensitive Groups
2023-10-26,121.0,Banjar Baru Landasan Ulin,2,Unhealthy for Sensitive Groups
2023-10-27,121.0,Banjar Baru Landasan Ulin,2,Unhealthy for Sensitive Groups
2023-10-28,112.0,Banjar Baru Landasan Ulin,2,Unhealthy for Sensitive Groups
2023-10-29,137.0,Banjar Baru Landasan Ulin,2,Unhealthy for Sensitive Groups
2023-10-30,172.0,Banjar Baru Landasan Ulin,2,Unhealthy
2023-10-31,158.0,Banjar Baru Landasan Ulin,2,Unhealthy
2023-11-06,92.0,Banjar Baru Landasan Ulin,2,Moderate
2023-11-07,109.0,Banjar Baru Landasan Ulin,2,Unhealthy for Sensitive Groups
2023-11-08,81.0,Banjar Baru Landasan Ulin,2,Moderate
2023-11-09,88.0,Banjar Baru Landasan Ulin,2,Moderate
2023-11-10,94.0,Banjar Baru Landasan Ulin,2,Moderate
2023-11-11,78.0,Banjar Baru Landasan Ulin,2,Moderate
2023-11-12,117.0,Banjar Baru Landasan Ulin,2,Unhealthy for Sensitive Groups
2023-11-13,92.0,Banjar Baru Landasan Ulin,2,Moderate
2023-11-14,67.0,Banjar Baru Landasan Ulin,2,Moderate
2023-11-15,77.0,Banjar Baru Landasan Ulin,2,Moderate
2023-11-16,75.0,Banjar Baru Landasan Ulin,2,Moderate
2023-11-17,75.0,Banjar Baru Landasan Ulin,2,Moderate
2023-11-18,80.0,Banjar Baru Landasan Ulin,2,Moderate
2023-11-19,67.0,Banjar Baru Landasan Ulin,2,Moderate
2023-11-20,75.0,Banjar Baru Landasan Ulin,2,Moderate
2023-11-21,71.0,Banjar Baru Landasan Ulin,2,Moderate
2023-11-22,64.0,Banjar Baru Landasan Ulin,2,Moderate
2023-11-23,52.0,Banjar Baru Landasan Ulin,2,Moderate
2023-11-24,46.0,Banjar Baru Landasan Ulin,2,Good
2023-11-25,115.0,Banjar Baru Landasan Ulin,2,Unhealthy for Sensitive Groups
2023-11-26,121.0,Banjar Baru Landasan Ulin,2,Unhealthy for Sensitive Groups
2023-11-27,182.0,Banjar Baru Landasan Ulin,2,Unhealthy
2023-11-28,172.0,Banjar Baru Landasan Ulin,2,Unhealthy
2023-11-29,161.0,Banjar Baru Landasan Ulin,2,Unhealthy
2023-11-30,152.0,Banjar Baru Landasan Ulin,2,Unhealthy
2023-12-01,143.0,Banjar Baru Landasan Ulin,2,Unhealthy for Sensitive Groups
2023-12-02,108.0,Banjar Baru Landasan Ulin,2,Unhealthy for Sensitive Groups
2023-12-03,138.0,Banjar Baru Landasan Ulin,2,Unhealthy for Sensitive Groups
2023-12-08,91.0,Banjar Baru Landasan Ulin,2,Moderate
2023-12-09,91.0,Banjar Baru Landasan Ulin,2,Moderate
2023-12-10,91.0,Banjar Baru Landasan Ulin,2,Moderate
2023-12-11,91.0,Banjar Baru Landasan Ulin,2,Moderate
2023-12-12,93.0,Banjar Baru Landasan Ulin,2,Moderate
2023-12-13,130.0,Banjar Baru Landasan Ulin,2,Unhealthy for Sensitive Groups
2023-12-14,121.0,Banjar Baru Landasan Ulin,2,Unhealthy for Sensitive Groups
2023-12-15,121.0,Banjar Baru Landasan Ulin,2,Unhealthy for Sensitive Groups
2023-12-16,112.0,Banjar Baru Landasan Ulin,2,Unhealthy for Sensitive Groups
2023-12-17,137.0,Banjar Baru Landasan Ulin,2,Unhealthy for Sensitive Groups
2023-12-18,172.0,Banjar Baru Landasan Ulin,2,Unhealthy
2023-12-19,158.0,Banjar Baru Landasan Ulin,2,Unhealthy
2023-12-25,92.0,Banjar Baru Landasan Ulin,2,Moderate
2023-12-26,109.0,Banjar Baru Landasan Ulin,2,Unhealthy for Sensitive Groups
2023-12-27,81.0,Banjar Baru Landasan Ulin,2,Moderate
2023-12-28,88.0,Banjar Baru Landasan Ulin,2,Moderate
2023-12-29,169.0,Banjar Baru Landasan Ulin,2,Unhealthy
2023-12-30,196.0,Banjar Baru Landasan Ulin,2,Unhealthy
2023-12-31,215.0,Banjar Baru Landasan Ulin,2,Very Unhealthy
2024-01-01,125.0,Banjar Baru Landasan Ulin,2,Unhealthy for Sensitive Groups
2024-01-02,157.0,Banjar Baru Landasan Ulin,2,Unhealthy
2024-01-03,172.0,Banjar Baru Landasan Ulin,2,Unhealthy
2024-01-04,180.0,Banjar Baru Landasan Ulin,2,Unhealthy
2024-01-05,137.0,Banjar Baru Landasan Ulin,2,Unhealthy for Sensitive Groups
2024-01-07,111.0,Banjar Baru Landasan Ulin,2,Unhealthy for Sensitive Groups
2024-01-08,106.0,Banjar Baru Landasan Ulin,2,Unhealthy for Sensitive Groups
2024-01-09,120.0,Banjar Baru Landasan Ulin,2,Unhealthy for Sensitive Groups
2024-01-10,181.0,Banjar Baru Landasan Ulin,2,Unhealthy
2024-01-11,152.0,Banjar Baru Landasan Ulin,2,Unhealthy
2024-01-12,115.0,Banjar Baru Landasan Ulin,2,Unhealthy for Sensitive Groups
2024-01-13,121.0,Banjar Baru Landasan Ulin,2,Unhealthy for Sensitive Groups
2024-01-14,182.0,Banjar Baru Landasan Ulin,2,Unhealthy
2024-01-29,172.0,Banjar Baru Landasan Ulin,2,Unhealthy
2024-01-30,161.0,Banjar Baru Landasan Ulin,2,Unhealthy
2024-01-31,152.0,Banjar Baru Landasan Ulin,2,Unhealthy
2024-02-01,143.0,Banjar Baru Landasan Ulin,2,Unhealthy for Sensitive Groups
2024-02-02,108.0,Banjar Baru Landasan Ulin,2,Unhealthy for Sensitive Groups
2024-02-03,138.0,Banjar Baru Landasan Ulin,2,Unhealthy for Sensitive Groups
2024-02-04,91.0,Banjar Baru Landasan Ulin,2,Moderate
2024-02-05,91.0,Banjar Baru Landasan Ulin,2,Moderate
2024-02-06,91.0,Banjar Baru Landasan Ulin,2,Moderate
2024-02-07,91.0,Banjar Baru Landasan Ulin,2,Moderate
2024-02-08,93.0,Banjar Baru Landasan Ulin,2,Moderate
2024-02-09,130.0,Banjar Baru Landasan Ulin,2,Unhealthy for Sensitive Groups
2024-02-10,121.0,Banjar Baru Landasan Ulin,2,Unhealthy for Sensitive Groups
2024-02-11,121.0,Banjar Baru Landasan Ulin,2,Unhealthy for Sensitive Groups
2024-02-12,112.0,Banjar Baru Landasan Ulin,2,Unhealthy for Sensitive Groups
2024-02-13,137.0,Banjar Baru Landasan Ulin,2,Unhealthy for Sensitive Groups
2024-02-14,172.0,Banjar Baru Landasan Ulin,2,Unhealthy
2024-02-15,158.0,Banjar Baru Landasan Ulin,2,Unhealthy
2023-09-27,191.0,Banjarmasin Kayu Tangi,3,Unhealthy
2023-09-28,189.0,Banjarmasin Kayu Tangi,3,Unhealthy
2023-09-29,166.0,Banjarmasin Kayu Tangi,3,Unhealthy
2023-09-30,166.0,Banjarmasin Kayu Tangi,3,Unhealthy
2023-10-01,197.0,Banjarmasin Kayu Tangi,3,Unhealthy
2023-10-02,183.0,Banjarmasin Kayu Tangi,3,Unhealthy
2023-10-03,247.0,Banjarmasin Kayu Tangi,3,Very Unhealthy
2023-10-04,209.0,Banjarmasin Kayu Tangi,3,Very Unhealthy
2023-10-05,131.0,Banjarmasin Kayu Tangi,3,Unhealthy for Sensitive Groups
2023-10-06,154.0,Banjarmasin Kayu Tangi,3,Unhealthy
2023-10-07,153.0,Banjarmasin Kayu Tangi,3,Unhealthy
2023-10-08,180.0,Banjarmasin Kayu Tangi,3,Unhealthy
2023-10-09,163.0,Banjarmasin Kayu Tangi,3,Unhealthy
2023-10-10,102.0,Banjarmasin Kayu Tangi,3,Unhealthy for Sensitive Groups
2023-10-11,153.0,Banjarmasin Kayu Tangi,3,Unhealthy
2023-10-12,167.0,Banjarmasin Kayu Tangi,3,Unhealthy
2023-10-13,157.0,Banjarmasin Kayu Tangi,3,Unhealthy
2023-10-14,129.0,Banjarmasin Kayu Tangi,3,Unhealthy for Sensitive Groups
2023-10-15,115.0,Banjarmasin Kayu Tangi,3,Unhealthy for Sensitive Groups
2023-10-16,71.0,Banjarmasin Kayu Tangi,3,Moderate
2023-10-17,66.0,Banjarmasin Kayu Tangi,3,Moderate
2023-10-18,68.0,Banjarmasin Kayu Tangi,3,Moderate
2023-10-19,64.0,Banjarmasin Kayu Tangi,3,Moderate
2023-10-20,49.0,Banjarmasin Kayu Tangi,3,Good
2023-10-21,78.0,Banjarmasin Kayu Tangi,3,Moderate
2023-10-22,71.0,Banjarmasin Kayu Tangi,3,Moderate
2023-10-23,58.0,Banjarmasin Kayu Tangi,3,Moderate
2023-10-24,55.0,Banjarmasin Kayu Tangi,3,Moderate
2023-10-25,66.0,Banjarmasin Kayu Tangi,3,Moderate
2023-10-26,66.0,Banjarmasin Kayu Tangi,3,Moderate
2023-10-27,69.0,Banjarmasin Kayu Tangi,3,Moderate
2023-10-28,82.0,Banjarmasin Kayu Tangi,3,Moderate
2023-10-29,93.0,Banjarmasin Kayu Tangi,3,Moderate
2023-10-30,89.0,Banjarmasin Kayu Tangi,3,Moderate
2023-10-31,92.0,Banjarmasin Kayu Tangi,3,Moderate
2023-11-01,152.0,Banjarmasin Kayu Tangi,3,Unhealthy
2023-11-02,106.0,Banjarmasin Kayu Tangi,3,Unhealthy for Sensitive Groups
2023-11-03,97.0,Banjarmasin Kayu Tangi,3,Moderate
2023-11-04,88.0,Banjarmasin Kayu Tangi,3,Moderate
2023-11-05,75.0,Banjarmasin Kayu Tangi,3,Moderate
2023-11-06,61.0,Banjarmasin Kayu Tangi,3,Moderate
2023-11-07,74.0,Banjarmasin Kayu Tangi,3,Moderate
2023-11-08,63.0,Banjarmasin Kayu Tangi,3,Moderate
2023-11-09,66.0,Banjarmasin Kayu Tangi,3,Moderate
2023-11-10,87.0,Banjarmasin Kayu Tangi,3,Moderate
2023-11-11,77.0,Banjarmasin Kayu Tangi,3,Moderate
2023-11-12,96.0,Banjarmasin Kayu Tangi,3,Moderate
2023-11-13,64.0,Banjarmasin Kayu Tangi,3,Moderate
2023-11-14,70.0,Banjarmasin Kayu Tangi,3,Moderate
2023-11-15,66.0,Banjarmasin Kayu Tangi,3,Moderate
2023-11-16,64.0,Banjarmasin Kayu Tangi,3,Moderate
2023-11-17,55.0,Banjarmasin Kayu Tangi,3,Moderate
2023-11-18,58.0,Banjarmasin Kayu Tangi,3,Moderate
2023-11-19,59.0,Banjarmasin Kayu Tangi,3,Moderate
2023-11-20,70.0,Banjarmasin Kayu Tangi,3,Moderate
2023-11-21,69.0,Banjarmasin Kayu Tangi,3,Moderate
2023-11-22,62.0,Banjarmasin Kayu Tangi,3,Moderate
2023-11-23,56.0,Banjarmasin Kayu Tangi,3,Moderate
2023-11-24,43.0,Banjarmasin Kayu Tangi,3,Good
2023-11-25,153.0,Banjarmasin Kayu Tangi,3,Unhealthy
2023-11-26,167.0,Banjarmasin Kayu Tangi,3,Unhealthy
2023-11-27,157.0,Banjarmasin Kayu Tangi,3,Unhealthy
2023-11-28,129.0,Banjarmasin Kayu Tangi,3,Unhealthy for Sensitive Groups
2023-11-29,115.0,Banjarmasin Kayu Tangi,3,Unhealthy for Sensitive Groups
2023-11-30,71.0,Banjarmasin Kayu Tangi,3,Moderate
2023-12-01,66.0,Banjarmasin Kayu Tangi,3,Moderate
2023-12-02,68.0,Banjarmasin Kayu Tangi,3,Moderate
2023-12-03,64.0,Banjarmasin Kayu Tangi,3,Moderate
2023-12-08,49.0,Banjarmasin Kayu Tangi,3,Good
2023-12-09,78.0,Banjarmasin Kayu Tangi,3,Moderate
2023-12-10,71.0,Banjarmasin Kayu Tangi,3,Moderate
2023-12-11,58.0,Banjarmasin Kayu Tangi,3,Moderate
2023-12-12,55.0,Banjarmasin Kayu Tangi,3,Moderate
2023-12-13,66.0,Banjarmasin Kayu Tangi,3,Moderate
2023-12-14,66.0,Banjarmasin Kayu Tangi,3,Moderate
2023-12-15,69.0,Banjarmasin Kayu Tangi,3,Moderate
2023-12-16,82.0,Banjarmasin Kayu Tangi,3,Moderate
2023-12-17,93.0,Banjarmasin Kayu Tangi,3,Moderate
2023-12-18,89.0,Banjarmasin Kayu Tangi,3,Moderate
2023-12-19,92.0,Banjarmasin Kayu Tangi,3,Moderate
2023-12-20,152.0,Banjarmasin Kayu Tangi,3,Unhealthy
2023-12-21,106.0,Banjarmasin Kayu Tangi,3,Unhealthy for Sensitive Groups
2023-12-22,97.0,Banjarmasin Kayu Tangi,3,Moderate
2023-12-23,88.0,Banjarmasin Kayu Tangi,3,Moderate
2023-12-24,75.0,Banjarmasin Kayu Tangi,3,Moderate
2023-12-25,61.0,Banjarmasin Kayu Tangi,3,Moderate
2023-12-26,74.0,Banjarmasin Kayu Tangi,3,Moderate
2023-12-27,63.0,Banjarmasin Kayu Tangi,3,Moderate
2023-12-28,66.0,Banjarmasin Kayu Tangi,3,Moderate
2023-12-29,189.0,Banjarmasin Kayu Tangi,3,Unhealthy
2023-12-30,166.0,Banjarmasin Kayu Tangi,3,Unhealthy
2023-12-31,166.0,Banjarmasin Kayu Tangi,3,Unhealthy
2024-01-01,197.0,Banjarmasin Kayu Tangi,3,Unhealthy
2024-01-02,183.0,Banjarmasin Kayu Tangi,3,Unhealthy
2024-01-03,247.0,Banjarmasin Kayu Tangi,3,Very Unhealthy
2024-01-04,209.0,Banjarmasin Kayu Tangi,3,Very Unhealthy
2024-01-05,131.0,Banjarmasin Kayu Tangi,3,Unhealthy for Sensitive Groups
2024-01-07,154.0,Banjarmasin Kayu Tangi,3,Unhealthy
2024-01-08,153.0,Banjarmasin Kayu Tangi,3,Unhealthy
2024-01-09,180.0,Banjarmasin Kayu Tangi,3,Unhealthy
2024-01-10,163.0,Banjarmasin Kayu Tangi,3,Unhealthy
2024-01-11,102.0,Banjarmasin Kayu Tangi,3,Unhealthy for Sensitive Groups
2024-01-12,153.0,Banjarmasin Kayu Tangi,3,Unhealthy
2024-01-13,167.0,Banjarmasin Kayu Tangi,3,Unhealthy
2024-01-14,157.0,Banjarmasin Kayu Tangi,3,Unhealthy
2024-01-29,129.0,Banjarmasin Kayu Tangi,3,Unhealthy for Sensitive Groups
2024-01-30,115.0,Banjarmasin Kayu Tangi,3,Unhealthy for Sensitive Groups
2024-01-31,71.0,Banjarmasin Kayu Tangi,3,Moderate
2024-02-01,66.0,Banjarmasin Kayu Tangi,3,Moderate
2024-02-02,68.0,Banjarmasin Kayu Tangi,3,Moderate
2024-02-03,64.0,Banjarmasin Kayu Tangi,3,Moderate
2024-02-04,49.0,Banjarmasin Kayu Tangi,3,Good
2024-02-05,78.0,Banjarmasin Kayu Tangi,3,Moderate
2024-02-06,71.0,Banjarmasin Kayu Tangi,3,Moderate
2024-02-07,58.0,Banjarmasin Kayu Tangi,3,Moderate
2024-02-08,55.0,Banjarmasin Kayu Tangi,3,Moderate
2024-02-09,66.0,Banjarmasin Kayu Tangi,3,Moderate
2024-02-10,66.0,Banjarmasin Kayu Tangi,3,Moderate
2024-02-11,69.0,Banjarmasin Kayu Tangi,3,Moderate
2024-02-12,82.0,Banjarmasin Kayu Tangi,3,Moderate
2024-02-13,93.0,Banjarmasin Kayu Tangi,3,Moderate
2024-02-14,89.0,Banjarmasin Kayu Tangi,3,Moderate
2024-02-15,92.0,Banjarmasin Kayu Tangi,3,Moderate
2023-09-27,173.0,Kabupaten Barito Selatan Sanggu,4,Unhealthy
2023-09-28,181.0,Kabupaten Barito Selatan Sanggu,4,Unhealthy
2023-09-29,267.0,Kabupaten Barito Selatan Sanggu,4,Very Unhealthy
2023-09-30,282.0,Kabupaten Barito Selatan Sanggu,4,Very Unhealthy
2023-10-01,282.0,Kabupaten Barito Selatan Sanggu,4,Very Unhealthy
2023-10-02,337.0,Kabupaten Barito Selatan Sanggu,4,Hazardous
2023-10-03,332.0,Kabupaten Barito Selatan Sanggu,4,Hazardous
2023-10-04,272.0,Kabupaten Barito Selatan Sanggu,4,Very Unhealthy
2023-10-05,181.0,Kabupaten Barito Selatan Sanggu,4,Unhealthy
2023-10-06,167.0,Kabupaten Barito Selatan Sanggu,4,Unhealthy
2023-10-07,156.0,Kabupaten Barito Selatan Sanggu,4,Unhealthy
2023-10-08,120.0,Kabupaten Barito Selatan Sanggu,4,Unhealthy for Sensitive Groups
2023-10-09,61.0,Kabupaten Barito Selatan Sanggu,4,Moderate
2023-10-10,83.0,Kabupaten Barito Selatan Sanggu,4,Moderate
2023-10-11,137.0,Kabupaten Barito Selatan Sanggu,4,Unhealthy for Sensitive Groups
2023-10-12,128.0,Kabupaten Barito Selatan Sanggu,4,Unhealthy for Sensitive Groups
2023-10-13,203.0,Kabupaten Barito Selatan Sanggu,4,Very Unhealthy
2023-10-14,182.0,Kabupaten Barito Selatan Sanggu,4,Unhealthy
2023-10-15,126.0,Kabupaten Barito Selatan Sanggu,4,Unhealthy for Sensitive Groups
2023-10-16,55.0,Kabupaten Barito Selatan Sanggu,4,Moderate
2023-10-17,42.0,Kabupaten Barito Selatan Sanggu,4,Good
2023-10-18,52.0,Kabupaten Barito Selatan Sanggu,4,Moderate
2023-10-19,84.0,Kabupaten Barito Selatan Sanggu,4,Moderate
2023-10-20,56.0,Kabupaten Barito Selatan Sanggu,4,Moderate
2023-10-21,46.0,Kabupaten Barito Selatan Sanggu,4,Good
2023-10-22,41.0,Kabupaten Barito Selatan Sanggu,4,Good
2023-10-23,36.0,Kabupaten Barito Selatan Sanggu,4,Good
2023-10-24,16.0,Kabupaten Barito Selatan Sanggu,4,Good
2023-10-25,22.0,Kabupaten Barito Selatan Sanggu,4,Good
2023-10-26,21.0,Kabupaten Barito Selatan Sanggu,4,Good
2023-10-28,56.0,Kabupaten Barito Selatan Sanggu,4,Moderate
2023-10-29,61.0,Kabupaten Barito Selatan Sanggu,4,Moderate
2023-10-30,72.0,Kabupaten Barito Selatan Sanggu,4,Moderate
2023-10-31,142.0,Kabupaten Barito Selatan Sanggu,4,Unhealthy for Sensitive Groups
2023-11-01,91.0,Kabupaten Barito Selatan Sanggu,4,Moderate
2023-11-04,25.0,Kabupaten Barito Selatan Sanggu,4,Good
2023-11-05,23.0,Kabupaten Barito Selatan Sanggu,4,Good
